Round,Player1_Move,Player2_Move,Winner,P1_Total_Score,P2_Total_Score
562,P,R,Player 1,365,70
563,R,R,Draw,365,70
564,R,S,Player 1,366,70
565,S,P,Player 1,367,70
566,S,P,Player 1,368,70
567,P,R,Player 1,369,70
568,P,R,Player 1,370,70
569,R,S,Player 1,371,70
570,S,S,Draw,371,70
571,S,P,Player 1,372,70
572,S,R,Player 2,372,71
573,P,R,Player 1,373,71
574,R,R,Draw,373,71
575,R,S,Player 1,374,71
576,S,P,Player 1,375,71
577,S,P,Player 1,376,71
578,P,R,Player 1,377,71
579,P,R,Player 1,378,71
580,R,S,Player 1,379,71
581,S,S,Draw,379,71
582,S,P,Player 1,380,71
583,S,R,Player 2,380,72
584,P,R,Player 1,381,72
585,R,R,Draw,381,72
586,R,S,Player 1,382,72
587,S,P,Player 1,383,72
588,S,P,Player 1,384,72
589,P,R,Player 1,385,72
590,P,R,Player 1,386,72
591,R,S,Player 1,387,72
592,S,S,Draw,387,72
593,S,P,Player 1,388,72
594,P,R,Player 1,389,72
595,P,R,Player 1,390,72
596,R,S,Player 1,391,72
597,S,S,Draw,391,72
598,S,P,Player 1,392,72
599,P,R,Player 1,393,72
600,P,R,Player 1,394,72
601,R,S,Player 1,395,72
602,S,S,Draw,395,72
603,S,P,Player 1,396,72
604,P,R,Player 1,397,72
605,P,R,Player 1,398,72
606,R,S,Player 1,399,72
607,S,S,Draw,399,72
608,S,P,Player 1,400,72
609,P,R,Player 1,401,72
610,P,R,Player 1,402,72
611,R,S,Player 1,403,72
612,S,S,Draw,403,72
613,S,P,Player 1,404,72
614,P,R,Player 1,405,72
615,P,R,Player 1,406,72
616,R,S,Player 1,407,72
617,S,S,Draw,407,72
618,S,P,Player 1,408,72
619,P,R,Player 1,409,72
620,P,R,Player 1,410,72
621,R,S,Player 1,411,72
622,S,S,Draw,411,72
623,S,P,Player 1,412,72
624,P,R,Player 1,413,72
625,P,R,Player 1,414,72
626,R,S,Player 1,415,72
627,S,S,Draw,415,72
628,S,P,Player 1,416,72
629,P,R,Player 1,417,72
630,P,R,Player 1,418,72
631,R,S,Player 1,419,72
632,S,S,Draw,419,72
633,S,P,Player 1,420,72
634,P,R,Player 1,421,72
635,P,R,Player 1,422,72
636,R,S,Player 1,423,72
637,S,S,Draw,423,72
638,S,P,Player 1,424,72
639,P,R,Player 1,425,72
640,P,R,Player 1,426,72
641,R,S,Player 1,427,72
642,S,S,Draw,427,72
643,S,P,Player 1,428,72
644,P,R,Player 1,429,72
645,P,R,Player 1,430,72
646,R,S,Player 1,431,72
647,S,S,Draw,431,72
648,S,P,Player 1,432,72
649,P,R,Player 1,433,72
650,P,R,Player 1,434,72
651,R,S,Player 1,435,72
652,S,S,Draw,435,72
653,S,P,Player 1,436,72
654,P,R,Player 1,437,72
655,P,R,Player 1,438,72
656,R,S,Player 1,439,72
657,S,S,Draw,439,72
658,S,P,Player 1,440,72
659,P,R,Player 1,441,72
660,P,R,Player 1,442,72
661,R,S,Player 1,443,72
662,S,S,Draw,443,72
663,S,P,Player 1,444,72
664,P,R,Player 1,445,72
665,P,R,Player 1,446,72
666,R,S,Player 1,447,72
667,S,S,Draw,447,72
668,S,P,Player 1,448,72
669,P,R,Player 1,449,72
670,P,R,Player 1,450,72
671,R,S,Player 1,451,72
672,S,S,Draw,451,72
673,S,P,Player 1,452,72
674,P,R,Player 1,453,72
675,P,R,Player 1,454,72
676,R,S,Player 1,455,72
677,S,S,Draw,455,72
678,S,P,Player 1,456,72
679,P,R,Player 1,457,72
680,P,R,Player 1,458,72
681,R,S,Player 1,459,72
682,S,S,Draw,459,72
683,S,P,Player 1,460,72
684,P,R,Player 1,461,72
685,P,R,Player 1,462,72
686,R,S,Player 1,463,72
687,S,S,Draw,463,72
688,S,P,Player 1,464,72
689,P,R,Player 1,465,72
690,P,R,Player 1,466,72
691,R,S,Player 1,467,72
692,S,S,Draw,467,72
693,S,P,Player 1,468,72
694,P,R,Player 1,469,72
695,P,R,Player 1,470,72
696,R,S,Player 1,471,72
697,S,S,Draw,471,72
698,S,P,Player 1,472,72
699,P,R,Player 1,473,72
700,P,R,Player 1,474,72
701,R,S,Player 1,475,72
702,R,S,Player 1,476,72
703,S,P,Player 1,477,72
704,P,P,Draw,477,72
