Round,Player1_Move,Player2_Move,Winner,P1_Total_Score,P2_Total_Score
790,P,R,Player 1,571,204
791,P,S,Player 2,571,205
792,R,S,Player 1,572,205
793,S,P,Player 1,573,205
794,P,R,Player 1,574,205
795,P,S,Player 2,574,206
796,R,S,Player 1,575,206
797,S,P,Player 1,576,206
798,P,R,Player 1,577,206
799,P,S,Player 2,577,207
800,R,S,Player 1,578,207
801,S,P,Player 1,579,207
802,P,R,Player 1,580,207
803,P,S,Player 2,580,208
804,R,S,Player 1,581,208
805,S,P,Player 1,582,208
806,P,R,Player 1,583,208
807,P,S,Player 2,583,209
808,R,S,Player 1,584,209
809,S,P,Player 1,585,209
810,P,R,Player 1,586,209
811,P,S,Player 2,586,210
812,R,S,Player 1,587,210
813,S,P,Player 1,588,210
814,P,R,Player 1,589,210
815,P,S,Player 2,589,211
816,R,S,Player 1,590,211
817,S,P,Player 1,591,211
818,P,R,Player 1,592,211
819,P,S,Player 2,592,212
820,R,S,Player 1,593,212
821,S,P,Player 1,594,212
822,P,R,Player 1,595,212
823,P,S,Player 2,595,213
824,R,S,Player 1,596,213
825,S,P,Player 1,597,213
826,P,R,Player 1,598,213
827,P,S,Player 2,598,214
828,R,S,Player 1,599,214
829,S,P,Player 1,600,214
830,P,R,Player 1,601,214
831,P,S,Player 2,601,215
832,R,S,Player 1,602,215
833,S,P,Player 1,603,215
834,P,R,Player 1,604,215
835,P,S,Player 2,604,216
836,R,S,Player 1,605,216
837,S,P,Player 1,606,216
838,P,R,Player 1,607,216
839,P,S,Player 2,607,217
840,R,S,Player 1,608,217
841,S,P,Player 1,609,217
842,P,R,Player 1,610,217
843,P,S,Player 2,610,218
844,R,S,Player 1,611,218
845,S,P,Player 1,612,218
846,P,R,Player 1,613,218
847,P,S,Player 2,613,219
848,R,S,Player 1,614,219
849,S,P,Player 1,615,219
850,P,R,Player 1,616,219
851,P,S,Player 2,616,220
852,R,S,Player 1,617,220
853,S,P,Player 1,618,220
854,P,R,Player 1,619,220
855,P,S,Player 2,619,221
856,R,S,Player 1,620,221
857,S,P,Player 1,621,221
858,P,R,Player 1,622,221
859,P,S,Player 2,622,222
860,R,S,Player 1,623,222
861,S,P,Player 1,624,222
862,P,R,Player 1,625,222
863,P,S,Player 2,625,223
864,R,S,Player 1,626,223
865,S,P,Player 1,627,223
866,P,R,Player 1,628,223
867,P,S,Player 2,628,224
868,R,S,Player 1,629,224
869,S,P,Player 1,630,224
870,P,R,Player 1,631,224
871,P,S,Player 2,631,225
872,R,S,Player 1,632,225
873,S,P,Player 1,633,225
874,P,R,Player 1,634,225
875,P,S,Player 2,634,226
876,R,S,Player 1,635,226
877,S,P,Player 1,636,226
878,P,R,Player 1,637,226
879,P,S,Player 2,637,227
880,R,S,Player 1,638,227
881,S,P,Player 1,639,227
882,P,R,Player 1,640,227
883,P,S,Player 2,640,228
884,R,S,Player 1,641,228
885,S,P,Player 1,642,228
886,P,R,Player 1,643,228
887,P,S,Player 2,643,229
888,R,S,Player 1,644,229
889,S,P,Player 1,645,229
890,P,R,Player 1,646,229
891,P,S,Player 2,646,230
892,R,S,Player 1,647,230
893,S,P,Player 1,648,230
894,P,R,Player 1,649,230
895,P,S,Player 2,649,231
896,R,S,Player 1,650,231
897,S,P,Player 1,651,231
898,P,R,Player 1,652,231
899,P,S,Player 2,652,232
900,R,S,Player 1,653,232
901,S,P,Player 1,654,232
902,P,R,Player 1,655,232
903,P,S,Player 2,655,233
904,R,S,Player 1,656,233
905,S,P,Player 1,657,233
906,P,R,Player 1,658,233
907,P,S,Player 2,658,234
908,R,S,Player 1,659,234
909,S,P,Player 1,660,234
910,P,R,Player 1,661,234
911,P,S,Player 2,661,235
912,R,S,Player 1,662,235
913,S,P,Player 1,663,235
914,P,R,Player 1,664,235
915,P,S,Player 2,664,236
916,R,S,Player 1,665,236
917,S,P,Player 1,666,236
918,P,R,Player 1,667,236
919,P,S,Player 2,667,237
920,R,S,Player 1,668,237
921,S,P,Player 1,669,237
922,P,R,Player 1,670,237
923,P,S,Player 2,670,238
924,R,S,Player 1,671,238
925,S,P,Player 1,672,238
926,P,R,Player 1,673,238
927,P,S,Player 2,673,239
928,R,S,Player 1,674,239
929,S,P,Player 1,675,239
930,P,R,Player 1,676,239
931,P,S,Player 2,676,240
932,R,S,Player 1,677,240
933,S,P,Player 1,678,240
934,P,R,Player 1,679,240
935,P,S,Player 2,679,241
936,R,S,Player 1,680,241
937,S,P,Player 1,681,241
938,P,R,Player 1,682,241
939,P,S,Player 2,682,242
940,R,S,Player 1,683,242
941,S,P,Player 1,684,242
942,P,R,Player 1,685,242
943,P,S,Player 2,685,243
944,R,S,Player 1,686,243
945,S,P,Player 1,687,243
946,P,R,Player 1,688,243
947,P,S,Player 2,688,244
948,R,S,Player 1,689,244
949,S,P,Player 1,690,244
950,P,R,Player 1,691,244
951,P,S,Player 2,691,245
952,R,S,Player 1,692,245
953,S,P,Player 1,693,245
954,P,R,Player 1,694,245
955,P,S,Player 2,694,246
956,R,S,Player 1,695,246
957,S,P,Player 1,696,246
958,P,R,Player 1,697,246
959,P,S,Player 2,697,247
960,R,S,Player 1,698,247
961,S,P,Player 1,699,247
962,P,R,Player 1,700,247
963,P,S,Player 2,700,248
964,R,S,Player 1,701,248
965,S,P,Player 1,702,248
966,P,R,Player 1,703,248
967,P,S,Player 2,703,249
968,R,S,Player 1,704,249
969,S,P,Player 1,705,249
970,P,R,Player 1,706,249
971,P,S,Player 2,706,250
972,R,S,Player 1,707,250
973,S,P,Player 1,708,250
974,P,R,Player 1,709,250
975,P,S,Player 2,709,251
976,R,S,Player 1,710,251
977,S,P,Player 1,711,251
978,P,R,Player 1,712,251
979,P,S,Player 2,712,252
980,R,S,Player 1,713,252
981,S,P,Player 1,714,252
982,P,R,Player 1,715,252
983,P,S,Player 2,715,253
984,R,S,Player 1,716,253
985,S,P,Player 1,717,253
986,P,R,Player 1,718,253
987,P,S,Player 2,718,254
988,R,S,Player 1,719,254
989,S,P,Player 1,720,254
990,P,R,Player 1,721,254
991,P,S,Player 2,721,255
992,R,S,Player 1,722,255
993,S,P,Player 1,723,255
994,P,R,Player 1,724,255
995,P,S,Player 2,724,256
996,R,S,Player 1,725,256
997,S,P,Player 1,726,256
998,P,R,Player 1,727,256
999,P,S,Player 2,727,257
1000,R,S,Player 1,728,257
